Time,L1,L2,L3,label
2024-06-06 02:33:00,1380.0,723.0,627.0,1
2024-06-06 02:34:00,1350.0,692.0,596.0,1
2024-06-06 02:35:00,1380.0,706.0,633.0,1
2024-06-06 02:36:00,1300.0,705.0,588.0,1
2024-06-06 02:37:00,1300.0,705.0,598.0,1
2024-06-06 02:38:00,776.0,0.474,-0.519,1
2024-06-06 02:39:00,764.0,0.45,-0.503,1
2024-06-06 02:40:00,764.0,0.494,-0.486,1
2024-06-06 02:41:00,770.0,0.512,-0.477,1
2024-06-06 02:42:00,770.0,0.505,-0.535,1
2024-06-06 02:43:00,755.0,0.431,-0.854,1
2024-06-06 02:44:00,759.0,0.45,-0.834,1
2024-06-06 02:45:00,1290.0,664.0,586.0,1
2024-06-06 02:46:00,1330.0,665.0,569.0,1
2024-06-06 02:47:00,1330.0,708.0,631.0,1
2024-06-06 02:48:00,1320.0,658.0,569.0,1
2024-06-06 02:49:00,1250.0,683.0,586.0,1
2024-06-06 02:50:00,1370.0,702.0,613.0,1
2024-06-06 02:51:00,1350.0,714.0,630.0,1
2024-06-06 02:52:00,1280.0,690.0,601.0,1
2024-06-06 02:53:00,752.0,0.489,-0.458,1
2024-06-06 02:54:00,756.0,0.444,-0.464,1
2024-06-06 02:55:00,749.0,0.43,-0.483,1
2024-06-06 02:56:00,753.0,0.468,-0.447,1
2024-06-06 02:57:00,745.0,0.472,-0.485,1
2024-06-06 02:58:00,759.0,0.406,-0.421,1
2024-06-06 02:59:00,1320.0,669.0,586.0,1
2024-06-06 03:00:00,1310.0,655.0,576.0,1
2024-06-06 03:01:00,1430.0,783.0,708.0,1
2024-06-06 03:02:00,1340.0,702.0,627.0,1
2024-06-06 03:03:00,1400.0,726.0,644.0,1
2024-06-06 03:04:00,1370.0,714.0,648.0,1
2024-06-06 03:05:00,1370.0,699.0,626.0,1
2024-06-06 03:06:00,1360.0,699.0,625.0,1
2024-06-06 03:07:00,1340.0,681.0,607.0,1
2024-06-06 03:08:00,745.0,0.434,-0.404,1
2024-06-06 03:09:00,745.0,0.455,-0.396,1
2024-06-06 03:10:00,745.0,0.47,-0.442,1
2024-06-06 03:11:00,748.0,0.366,-0.683,1
2024-06-06 03:12:00,736.0,0.408,-0.719,1
2024-06-06 03:13:00,745.0,0.405,-0.725,1
2024-06-06 03:14:00,737.0,0.454,-0.495,1
2024-06-06 03:15:00,1300.0,669.0,599.0,1
2024-06-06 03:16:00,1250.0,665.0,590.0,1
2024-06-06 03:17:00,1340.0,703.0,631.0,1
2024-06-06 03:18:00,1370.0,723.0,645.0,1
2024-06-06 03:19:00,1550.0,704.0,639.0,1
2024-06-06 03:20:00,1560.0,683.0,614.0,1
2024-06-06 03:21:00,1540.0,685.0,625.0,1
2024-06-06 03:22:00,1540.0,685.0,627.0,1
2024-06-06 03:23:00,1540.0,680.0,617.0,1
2024-06-06 03:24:00,1540.0,689.0,631.0,1
2024-06-06 03:25:00,1530.0,680.0,620.0,1
2024-06-06 03:26:00,1540.0,673.0,605.0,1
2024-06-06 03:27:00,956.0,0.12,-0.144,1
2024-06-06 03:28:00,953.0,0.0845,-0.155,1
2024-06-06 03:29:00,960.0,0.0805,-0.148,1
2024-06-06 03:30:00,954.0,0.177,-0.149,1
2024-06-06 03:31:00,952.0,0.265,-0.153,1
2024-06-06 03:32:00,944.0,0.224,-0.14,1
2024-06-06 03:33:00,1430.0,612.0,555.0,1
2024-06-06 03:34:00,2030.0,1310.0,1200.0,0
2024-06-06 03:35:00,2010.0,1270.0,1150.0,0
2024-06-06 03:36:00,1520.0,696.0,597.0,1
2024-06-06 03:37:00,1470.0,647.0,550.0,1
2024-06-06 03:38:00,1480.0,640.0,548.0,1
2024-06-06 03:39:00,1470.0,637.0,554.0,1
2024-06-06 03:40:00,948.0,0.322,-0.588,1
2024-06-06 03:41:00,947.0,0.294,-0.595,1
2024-06-06 03:42:00,952.0,0.361,-0.424,1
2024-06-06 03:43:00,949.0,0.342,-0.388,1
2024-06-06 03:44:00,954.0,0.378,-0.407,1
2024-06-06 03:45:00,938.0,0.302,-0.434,1
2024-06-06 03:46:00,1960.0,1290.0,1130.0,0
2024-06-06 03:47:00,2040.0,1290.0,1130.0,0
2024-06-06 03:48:00,1550.0,712.0,631.0,1
2024-06-06 03:49:00,1480.0,630.0,568.0,1
2024-06-06 03:50:00,1430.0,638.0,560.0,1
2024-06-06 03:51:00,1550.0,703.0,645.0,1
2024-06-06 03:52:00,940.0,0.399,-0.429,1
2024-06-06 03:53:00,952.0,0.351,-0.398,1
2024-06-06 03:54:00,945.0,0.357,-0.444,1
2024-06-06 03:55:00,957.0,0.34,-0.399,1
2024-06-06 03:56:00,952.0,0.393,-0.418,1
2024-06-06 03:57:00,959.0,0.306,-0.403,1
2024-06-06 03:58:00,1510.0,662.0,572.0,1
2024-06-06 03:59:00,2020.0,1300.0,1170.0,0
2024-06-06 04:00:00,2140.0,1380.0,1300.0,0
2024-06-06 04:01:00,1520.0,668.0,621.0,1
2024-06-06 04:02:00,1.53,0.151,-0.232,1
2024-06-06 04:03:00,1.57,0.159,-0.241,1
2024-06-06 04:04:00,482.0,0.214,-0.267,1
2024-06-06 04:05:00,477.0,0.172,-0.304,1
2024-06-06 04:06:00,481.0,0.241,-0.262,1
2024-06-06 04:07:00,682.0,0.442,-0.247,1
2024-06-06 04:08:00,682.0,0.457,-0.245,1
2024-06-06 04:09:00,1740.0,1320.0,1330.0,0
2024-06-06 04:10:00,1740.0,1340.0,1320.0,0
2024-06-06 04:11:00,1740.0,1340.0,1310.0,0
2024-06-06 04:12:00,1740.0,1340.0,1320.0,0
2024-06-06 04:13:00,1740.0,1330.0,1310.0,0
2024-06-06 04:14:00,1730.0,1320.0,1300.0,0
2024-06-06 04:15:00,1730.0,1330.0,1310.0,0
2024-06-06 04:16:00,1730.0,1330.0,1310.0,0
2024-06-06 04:17:00,1760.0,1330.0,1300.0,0
2024-06-06 04:18:00,1770.0,1330.0,1300.0,0
2024-06-06 04:19:00,1770.0,1330.0,1310.0,0
2024-06-06 04:20:00,1750.0,1320.0,1290.0,0
2024-06-06 04:21:00,1770.0,1330.0,1300.0,0
2024-06-06 04:22:00,1770.0,1340.0,1300.0,0
2024-06-06 04:23:00,1770.0,1340.0,1310.0,0
2024-06-06 04:24:00,1300.0,844.0,827.0,1
2024-06-06 04:25:00,1130.0,667.0,653.0,1
2024-06-06 04:26:00,1130.0,672.0,657.0,1
2024-06-06 04:27:00,485.0,0.288,-0.299,1
2024-06-06 04:28:00,484.0,0.314,-0.392,1
2024-06-06 04:29:00,484.0,0.318,-0.379,1
2024-06-06 04:30:00,1430.0,1050.0,949.0,1
2024-06-06 04:31:00,1430.0,838.0,752.0,1
2024-06-06 04:32:00,1340.0,745.0,664.0,1
2024-06-06 04:33:00,1350.0,760.0,674.0,1
2024-06-06 04:34:00,1340.0,751.0,662.0,1
2024-06-06 04:35:00,1290.0,730.0,643.0,1
2024-06-06 04:36:00,1320.0,726.0,633.0,1
2024-06-06 04:37:00,1320.0,719.0,642.0,1
2024-06-06 04:38:00,1310.0,692.0,607.0,1
2024-06-06 04:39:00,1270.0,687.0,611.0,1
2024-06-06 04:40:00,1310.0,724.0,644.0,1
2024-06-06 04:41:00,1290.0,703.0,628.0,1
2024-06-06 04:42:00,1200.0,685.0,604.0,1
2024-06-06 04:43:00,1260.0,675.0,601.0,1
2024-06-06 04:44:00,1260.0,680.0,614.0,1
2024-06-06 04:45:00,1280.0,699.0,637.0,1
2024-06-06 04:46:00,1180.0,677.0,610.0,1
2024-06-06 04:47:00,1170.0,671.0,607.0,1
2024-06-06 04:48:00,1250.0,673.0,606.0,1
2024-06-06 04:49:00,1250.0,673.0,608.0,1
2024-06-06 04:50:00,1270.0,693.0,622.0,1
2024-06-06 04:51:00,1260.0,681.0,613.0,1
2024-06-06 04:52:00,1200.0,676.0,591.0,1
2024-06-06 04:53:00,1230.0,671.0,598.0,1
2024-06-06 04:54:00,1270.0,676.0,605.0,1
2024-06-06 04:55:00,1240.0,647.0,589.0,1
2024-06-06 04:56:00,1280.0,675.0,610.0,1
2024-06-06 04:57:00,1280.0,668.0,603.0,1
2024-06-06 04:58:00,1280.0,683.0,610.0,1
2024-06-06 04:59:00,1270.0,663.0,591.0,1
2024-06-06 05:00:00,1280.0,667.0,620.0,1
2024-06-06 05:01:00,1280.0,665.0,611.0,1
2024-06-06 05:02:00,1260.0,643.0,592.0,1
2024-06-06 05:03:00,1260.0,670.0,612.0,1
2024-06-06 05:04:00,1280.0,665.0,611.0,1
2024-06-06 05:05:00,1290.0,670.0,615.0,1
2024-06-06 05:06:00,1290.0,662.0,606.0,1
2024-06-06 05:07:00,1300.0,671.0,610.0,1
2024-06-06 05:08:00,1270.0,674.0,623.0,1
2024-06-06 05:09:00,1260.0,678.0,621.0,1
2024-06-06 05:10:00,1270.0,681.0,624.0,1
2024-06-06 05:11:00,1270.0,679.0,621.0,1
2024-06-06 05:12:00,1250.0,669.0,621.0,1
2024-06-06 05:13:00,1210.0,669.0,613.0,1
2024-06-06 05:14:00,1180.0,663.0,599.0,1
2024-06-06 05:15:00,1170.0,670.0,610.0,1
2024-06-06 05:16:00,1270.0,675.0,622.0,1
2024-06-06 05:17:00,680.0,0.417,-0.365,1
2024-06-06 05:18:00,684.0,0.489,-0.297,1
2024-06-06 05:19:00,680.0,0.476,-0.3,1
2024-06-06 05:20:00,685.0,0.471,-0.425,1
2024-06-06 05:21:00,684.0,0.443,-0.337,1
2024-06-06 05:22:00,685.0,0.442,-0.34,1
2024-06-06 05:23:00,684.0,0.448,-0.315,1
2024-06-06 05:24:00,1220.0,654.0,598.0,1
2024-06-06 05:25:00,1230.0,661.0,609.0,1
2024-06-06 05:26:00,1250.0,686.0,636.0,1
2024-06-06 05:27:00,1180.0,679.0,628.0,1
2024-06-06 05:28:00,1250.0,678.0,637.0,1
2024-06-06 05:29:00,1140.0,641.0,596.0,1
2024-06-06 05:30:00,1180.0,673.0,626.0,1
2024-06-06 05:31:00,1170.0,670.0,617.0,1
2024-06-06 05:32:00,1170.0,664.0,617.0,1
2024-06-06 05:33:00,1250.0,683.0,638.0,1
2024-06-06 05:34:00,1250.0,678.0,629.0,1
2024-06-06 05:35:00,1240.0,677.0,611.0,1
2024-06-06 05:36:00,685.0,0.428,-0.0378,1
2024-06-06 05:37:00,684.0,0.469,-0.0482,1
2024-06-06 05:38:00,669.0,0.498,-0.0519,1
2024-06-06 05:39:00,677.0,0.487,-0.0547,1
2024-06-06 05:40:00,675.0,0.46,-0.0566,1
2024-06-06 05:41:00,677.0,0.492,-0.0521,1
2024-06-06 05:42:00,681.0,0.454,-0.138,1
2024-06-06 05:43:00,682.0,0.446,-0.133,1
2024-06-06 05:44:00,1200.0,671.0,611.0,1
2024-06-06 05:45:00,1220.0,665.0,604.0,1
2024-06-06 05:46:00,1280.0,727.0,657.0,1
2024-06-06 05:47:00,1250.0,700.0,625.0,1
2024-06-06 05:48:00,1160.0,685.0,611.0,1
2024-06-06 05:49:00,1200.0,705.0,621.0,1
2024-06-06 05:50:00,1190.0,679.0,627.0,1
2024-06-06 05:51:00,1260.0,683.0,632.0,1
2024-06-06 05:52:00,1270.0,695.0,645.0,1
2024-06-06 05:53:00,1250.0,669.0,624.0,1
2024-06-06 05:54:00,1260.0,677.0,632.0,1
2024-06-06 05:55:00,691.0,0.403,0.0312,1
2024-06-06 05:56:00,688.0,0.388,0.037,1
2024-06-06 05:57:00,686.0,0.396,0.0381,1
2024-06-06 05:58:00,684.0,0.347,-0.258,1
2024-06-06 05:59:00,683.0,0.356,-0.262,1
2024-06-06 06:00:00,683.0,0.409,0.0311,1
2024-06-06 06:01:00,683.0,0.345,0.145,1
2024-06-06 06:02:00,685.0,0.364,0.155,1
2024-06-06 06:03:00,1250.0,667.0,639.0,1
